Cód. CNUC;Nome da UC;Categoria;Coord. Regional;Ano/Criação; Área (hect) ; Perimetro (m) ;Ato legal;Grupo;UF;Municípios;Bioma;Fuso/abrangencia
0000.00.0223;RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO;RESEX;GR 1 - NORTE;2002; 2.783,20 ; 62.574,56 ;DEC S/N, de 16/12/2002;US;PA;Santarém Novo, São João das Pirabas, Maracanã, Igarapé-Açú.;AMAZÔNIA;23S
0000.00.3653;RESERVA EXTRATIVISTA DA BAÍA DO TUBARÃO;RESEX;GR 1 - NORTE;2018; 223.888,98 ; 403.112,44 ;DEC 9.340 de 05/04/2018;US;MA;Icatú e Humberto de Campos.;MARINHO COSTEIRO;23S
0000.00.0226;RESERVA EXTRATIVISTA DA MATA GRANDE;RESEX;GR 2- NORDESTE;1992; 11.431,66 ; 58.521,62 ;DEC 532, de 20/05/1992;US;MA;Davinópolis, Senador La Rocque, João Lisboa, Imperatriz.;CERRADO;23S
0000.00.0253;RESERVA EXTRATIVISTA DE CANAVIEIRAS;RESEX;GR 2- NORDESTE;2006; 100.688,41 ; 221.281,76 ;DEC S/N, de  05/06/2006;US;BA;Una, Canavieiras, Belmonte.;MATA ATLÂNTICA;24S
0000.00.1808;RESERVA EXTRATIVISTA DE CASSURUBÁ;RESEX;GR 2- NORDESTE;2009; 100.578,38 ; 284.012,94 ;DEC S/N de  05/06/2009;US;BA;Caravelas, Alcobaça, Nova Viçosa.;MATA ATLÂNTICA;24S
0000.00.0279;RESERVA EXTRATIVISTA DE CURURUPU;RESEX;GR 1 - NORTE;2004; 186.056,73 ; 605.667,09 ;DEC S/N, de 02/06/2004;US;MA;Apicum-Açu, Bacuri, Serrano do Maranhão, Cururupu, Porto Rico do Maranhão.;AMAZÔNIA;23S
0000.00.0286;RESERVA EXTRATIVISTA DE RECANTO DAS ARARAS DE TERRA RONCA;RESEX;GR 3 - CENTRO-OESTE;2006; 12.349,33 ; 58.832,82 ;DEC S/N, de 11/09/2006;US;GO;São Domingos, Guarani de Goiás, Correntina.;CERRADO;23S
0000.00.0228;RESERVA EXTRATIVISTA DE SÃO JOÃO DA PONTA;RESEX;GR 1 - NORTE;2002; 3.409,49 ; 124.576,16 ;DEC S/N, de 13/12/2002;US;PA;São João da Ponta, São Caetano de Odivelas, Curuçá.;AMAZÔNIA;23S
0000.00.1517;RESERVA EXTRATIVISTA DO ALTO JURUÁ;RESEX;GR 1 - NORTE;1990; 537.949,36 ; 451.057,78 ;DEC 98.863, de 23/01/1990;US;AC;Marechal Thaumaturgo, Jordão, Porto Walter, Tarauacá.;AMAZÔNIA;18S
0000.00.0274;RESERVA EXTRATIVISTA DO ALTO TARAUACÁ;RESEX;GR 1 - NORTE;2000; 154.133,85 ; 297.249,92 ;DEC S/N, de 8/11/2000;US;AC;Tarauacá, Jordão, Marechal Thaumaturgo.;AMAZÔNIA;19S
0000.00.0230;RESERVA EXTRATIVISTA DO BAIXO JURUÁ;RESEX;GR 1 - NORTE;2001; 178.038,92 ; 292.301,53 ;DEC S/N, de 01/08/2001;US;AM;Juruá, Uarini.;AMAZÔNIA;20S
0000.00.0231;RESERVA EXTRATIVISTA DO BATOQUE;RESEX;GR 2- NORDESTE;2005; 601,45 ; 13.514,45 ;DEC S/N, de 05/06/2003;US;CE;Aquiraz, Cascavel.;CAATINGA;24S
0000.00.0232;RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA;RESEX;GR 1 - NORTE;2002; 754.987,10 ; 605.237,00 ;DEC S/N, de 19/10/2002;US;AC;Manoel Urbano, Sena Madureira.;AMAZÔNIA;19S
0000.00.1519;RESERVA EXTRATIVISTA DO CIRIACO;RESEX;GR 2- NORDESTE;1992; 8.106,63 ; 53.882,10 ;DEC S/N, de 17/06/2010;US;MA;Cidelândia, Imperatriz.;AMAZÔNIA;23S
0000.00.0240;RESERVA EXTRATIVISTA DO EXTREMO NORTE DO ESTADO DO TOCANTINS;RESEX;GR 2- NORDESTE;1992; 9.070,60 ; 47.769,57 ;DEC 535, de 20/05/1992;US;TO;Carrasco Bonito, Sampaio, Buriti do Tocantins.;CERRADO;22S
0000.00.0242;RESERVA EXTRATIVISTA DO LAGO DO CAPANÃ GRANDE;RESEX;GR 1 - NORTE;2004; 304.313,44 ; 391.738,75 ;DEC S/N, de  03/06/2004;US;AM;Manicoré, Tapauá, Beruri.;AMAZÔNIA;20S
0000.00.0233;RESERVA EXTRATIVISTA DO LAGO DO CUNIÃ;RESEX;GR 1 - NORTE;1999; 75.876,67 ; 190.420,36 ;"DEC3.238, de 10/11/1999 ; DEC 9.638, de 26/12/2019";US;RO;Porto Velho.;AMAZÔNIA;20S
0000.00.0234;RESERVA EXTRATIVISTA DO MANDIRA;RESEX;GR 4- SUDESTE;2002; 1.177,81 ; 35.995,15 ;DEC S/N, de 13/12/2002;US;SP;Cananéia.;MATA ATLÂNTICA;22S
0000.00.0235;RESERVA EXTRATIVISTA DO MÉDIO JURUÁ;RESEX;GR 1 - NORTE;1997; 286.954,81 ; 388.643,22 ;"DEC S/N, de 04/03/1997 ; DEC S/N, de 13/10/2014";US;AM;Carauari.;AMAZÔNIA;19S
0000.00.1606;RESERVA EXTRATIVISTA DO MÉDIO PURÚS;RESEX;GR 1 - NORTE;2008; 604.235,97 ; 1.157.298,66 ;DEC S/N, de 08/05/2008;US;AM;Pauini, Lábrea, Tapauá.;AMAZÔNIA;19S e 20S
0000.00.1520;RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL;RESEX;GR 1 - NORTE;1992; 9.338,45 ; 45.292,66 ;DEC 536, de 20/05/1992;US;MA;Mirinzal.;AMAZÔNIA;23S
0000.00.1518;RESERVA EXTRATIVISTA DO RIO CAJARI;RESEX;GR 1 - NORTE;1990; 532.404,51 ; 366.856,60 ;DEC 99.145, de 12/03/1990;US;AP;Mazagão, Laranjal do Jari, Vitória do Jari.;AMAZÔNIA;22S
0000.00.0238;RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO;RESEX;GR 1 - NORTE;2001; 75.125,50 ; 209.077,83 ;DEC S/N, de 07/08/2001;US;RO;Guajará-Mirim, Costa Marques.;AMAZÔNIA;20S
0000.00.0239;RESERVA EXTRATIVISTA DO RIO JUTAÍ;RESEX;GR 1 - NORTE;2002; 275.515,82 ; 421.755,38 ;DEC S/N, de 16/07/2002;US;AM;Jutaí.;AMAZÔNIA;19S
0000.00.0256;RESERVA EXTRATIVISTA DO RIO OURO PRETO;RESEX;GR 1 - NORTE;1990; 204.632,81 ; 425.683,88 ;DEC 99.166, de 13/03/1990;US;RO;Guajará-Mirim, Nova Mamoré.;AMAZÔNIA;20S
0000.00.0288;RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO;RESEX;GR 1 - NORTE;2006; 145.574,11 ; 223.289,78 ;DEC S/N, de 30/11/2006;US;PA;Melgaço, Gurupá, Breves.;AMAZÔNIA;22S
0000.00.0241;RESERVA EXTRATIVISTA IPAÚ-ANILZINHO;RESEX;GR 1 - NORTE;2005; 55.835,01 ; 117.174,26 ;DEC S/N, de 14/06/2005;US;PA;Baião.;AMAZÔNIA;22S
0000.00.3651;RESERVA EXTRATIVISTA ITAPETININGA;RESEX;GR 1 - NORTE;2018; 16.294,17 ; 90.360,24 ;DEC 9.333 de 05/04/2018;US;MA;Bequimão.;MARINHO COSTEIRO;23S
0000.00.1628;RESERVA EXTRATIVISTA ITUXÍ;RESEX;GR 1 - NORTE;2008; 776.329,64 ; 637.515,20 ;DEC S/N, de 05/06/2008;US;AM;Lábrea.;AMAZÔNIA;20S
0000.00.0287;RESERVA EXTRATIVISTA LAGO DO CEDRO;RESEX;GR 3 - CENTRO-OESTE;2006; 17.178,05 ; 75.362,94 ;DEC S/N,de 11/09/2006;US;GO;Aruanã, Cocalinho.;CERRADO;22S
0000.00.0243;RESERVA EXTRATIVISTA MÃE GRANDE DE CURUÇÁ;RESEX;GR 1 - NORTE;2002; 36.678,78 ; 437.571,20 ;DEC S/N, de 13/12/2002;US;PA;Curuçá, Marapanim, São Caetano de Odivelas, São João da Ponta.;AMAZÔNIA;23S
0000.00.0244;RESERVA EXTRATIVISTA MAPUÁ;RESEX;GR 1 - NORTE;2005; 93.747,66 ; 233.152,67 ;DEC S/N, de 20/05/2005;US;PA;Breves, Anajás.;AMAZÔNIA;22S
0000.00.0227;RESERVA EXTRATIVISTA MARACANÃ;RESEX;GR 1 - NORTE;2002; 30.179,65 ; 577.110,46 ;DEC S/N, de 13/12/2002;US;PA;Maracanã, Igarapé-Açú, Magalhães Barata, Salinópolis, Santarém Novo, São João de Pirabas.;AMAZÔNIA;23S
0000.00.3134;RESERVA EXTRATIVISTA MARINHA CUINARANA;RESEX;GR 1 - NORTE;2014; 11.036,41 ; 214.757,28 ;DEC S/N, de 10/10/2014;US;PA;Magalhães Barata.;AMAZÔNIA;23S
